,QT_INTERVAL_COUNT,QT_VOLUME_24HOUR
363,2019-01-01,15349.0
335,2019-01-02,17732.5
342,2019-01-03,19068.5
283,2019-01-04,19420.5
284,2019-01-05,18962.0
316,2019-01-06,17115.0
311,2019-01-07,19560.5
253,2019-01-08,20420.5
258,2019-01-09,22326.0
282,2019-01-10,22579.0
285,2019-01-11,23325.0
314,2019-01-12,19454.0
313,2019-01-13,17155.0
368,2019-01-14,22913.5
362,2019-01-15,23155.5
336,2019-01-16,23818.0
341,2019-01-17,24731.0
180,2019-01-18,26858.5
173,2019-01-19,22481.5
252,2019-01-20,20277.5
259,2019-01-21,23093.0
231,2019-01-22,23866.0
225,2019-01-23,24964.0
177,2019-01-24,24958.5
176,2019-01-25,24399.0
201,2019-01-26,20337.0
202,2019-01-27,18623.0
367,2019-01-28,15782.0
364,2019-01-29,23119.0
178,2019-01-30,24030.0
175,2019-01-31,24785.0
455,2019-02-01,26693.0
437,2019-02-02,22664.0
422,2019-02-03,18940.0
394,2019-02-04,22881.0
380,2019-02-05,24629.0
399,2019-02-06,25627.0
417,2019-02-07,25247.0
161,2019-02-08,26095.0
147,2019-02-09,23725.0
393,2019-02-10,20419.0
381,2019-02-11,22992.0
398,2019-02-12,24835.0
418,2019-02-13,25194.0
440,2019-02-14,25638.0
454,2019-02-15,27023.0
439,2019-02-16,23605.0
420,2019-02-17,20398.0
92,2019-02-18,22684.0
109,2019-02-19,24408.0
163,2019-02-20,24323.0
145,2019-02-21,25721.0
127,2019-02-22,26320.0
143,2019-02-23,22153.0
95,2019-02-24,20225.0
106,2019-02-25,22542.0
123,2019-02-26,25089.0
112,2019-02-27,24713.0
442,2019-02-28,26880.0
346,2019-03-01,26128.0
370,2019-03-02,22520.5
360,2019-03-03,19528.0
320,2019-03-04,23391.5
307,2019-03-05,24395.0
280,2019-03-06,25481.0
287,2019-03-07,25661.5
232,2019-03-08,26412.0
224,2019-03-09,21281.5
319,2019-03-10,20106.5
308,2019-03-11,17080.5
278,2019-03-12,23591.5
289,2019-03-13,23973.0
332,2019-03-14,25517.0
345,2019-03-15,26577.5
371,2019-03-16,23303.5
359,2019-03-17,20047.0
195,2019-03-18,23340.0
208,2019-03-19,24381.5
235,2019-03-20,24883.0
221,2019-03-21,26511.0
250,2019-03-22,27088.0
262,2019-03-23,24112.0
197,2019-03-24,19738.0
206,2019-03-25,23335.0
181,2019-03-26,24792.0
171,2019-03-27,25458.0
334,2019-03-28,26945.0
343,2019-03-29,27016.0
198,2019-03-30,23464.0
205,2019-03-31,20343.0
414,2019-04-01,22950.0
391,2019-04-02,24606.0
383,2019-04-03,25304.0
435,2019-04-04,26723.0
424,2019-04-05,27782.0
444,2019-04-06,24997.0
451,2019-04-07,21966.0
122,2019-04-08,23334.0
113,2019-04-09,24877.0
434,2019-04-10,25075.0
425,2019-04-11,25530.0
443,2019-04-12,27369.0
452,2019-04-13,24555.0
402,2019-04-14,20763.0
413,2019-04-15,22704.0
392,2019-04-16,24513.0
382,2019-04-17,25328.0
131,2019-04-18,26824.0
139,2019-04-19,17931.0
121,2019-04-20,20241.0
114,2019-04-21,17684.0
96,2019-04-22,15902.0
105,2019-04-23,22426.0
129,2019-04-24,24839.0
140,2019-04-25,18503.0
159,2019-04-26,24810.0
149,2019-04-27,22082.0
401,2019-04-28,18470.0
415,2019-04-29,23469.0
130,2019-04-30,24598.0
293,2019-05-01,25564.0
322,2019-05-02,26554.0
305,2019-05-03,27726.0
374,2019-05-04,24998.0
356,2019-05-05,21713.0
331,2019-05-06,23121.0
347,2019-05-07,24454.0
185,2019-05-08,25478.0
167,2019-05-09,26063.0
373,2019-05-10,27720.0
357,2019-05-11,24694.0
330,2019-05-12,20476.0
348,2019-05-13,22438.0
275,2019-05-14,24624.0
292,2019-05-15,25281.0
323,2019-05-16,26009.0
304,2019-05-17,27116.0
248,2019-05-18,24486.0
264,2019-05-19,20397.0
184,2019-05-20,23900.0
168,2019-05-21,25747.0
193,2019-05-22,25557.0
210,2019-05-23,26763.0
246,2019-05-24,26579.0
266,2019-05-25,24824.0
236,2019-05-26,21450.0
220,2019-05-27,23462.0
274,2019-05-28,23406.0
294,2019-05-29,25266.0
247,2019-05-30,26142.0
265,2019-05-31,27555.0
386,2019-06-01,24131.0
403,2019-06-02,20174.0
412,2019-06-03,23237.0
446,2019-06-04,23951.0
449,2019-06-05,24304.0
433,2019-06-06,25190.0
426,2019-06-07,27751.0
97,2019-06-08,22586.0
104,2019-06-09,20263.0
445,2019-06-10,17089.0
450,2019-06-11,23211.0
432,2019-06-12,24944.0
427,2019-06-13,25400.0
389,2019-06-14,26169.0
385,2019-06-15,24032.0
404,2019-06-16,19491.0
411,2019-06-17,22883.0
156,2019-06-18,24065.0
151,2019-06-19,25163.0
98,2019-06-20,25523.0
103,2019-06-21,26953.0
120,2019-06-22,24025.0
115,2019-06-23,20478.0
157,2019-06-24,22729.0
150,2019-06-25,24019.0
132,2019-06-26,24783.0
138,2019-06-27,25654.0
390,2019-06-28,26220.0
384,2019-06-29,23488.0
158,2019-06-30,20318.0
302,2019-07-01,22462.0
270,2019-07-02,23213.0
299,2019-07-03,23984.0
328,2019-07-04,23691.0
350,2019-07-05,26963.0
378,2019-07-06,23956.0
352,2019-07-07,20341.0
189,2019-07-08,22372.0
214,2019-07-09,23533.0
